Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.035,2.6309114131238958,107.50493501922931,2.437213641707778
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.04,1.7879499418082423,107.50493501922931,1.9218392794932322
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.05,0.8336512700473192,107.50493501922931,1.2182077623188867
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.06,0.39009270704835397,107.50493501922931,0.7919115022416726
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.01,12.945348969335447,237.30029029095905,10.067454318921945
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.02,6.800574993871475,237.30029029095905,6.395335049301211
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.03,3.7401059894006963,237.30029029095905,4.173256447841046
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.035,2.8186879442534343,237.30029029095905,3.4038864410814362
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.04,2.1454108926045867,237.30029029095905,2.793529912591084
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.05,1.2763962139532492,237.30029029095905,1.914899921361496
"Replacing aging, 4x organs",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.06,0.7821271044746763,237.30029029095905,1.3415643138719557
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.01,12.945348969335447,237.30029029095905,10.067454318921945
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.02,6.800574993871475,237.30029029095905,6.395335049301211
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.03,3.7401059894006963,237.30029029095905,4.173256447841046
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.035,2.8186879442534343,237.30029029095905,3.4038864410814362
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.04,2.1454108926045867,237.30029029095905,2.793529912591084
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.05,1.2763962139532492,237.30029029095905,1.914899921361496
"Replacing aging, 4x organs (new)",40,10,20,0.44,0.0,0.0,29.270369563795278,101.8271396969323,1.1930536099848497,1.1931255454246503,118.19971797090183,-436.88432146682146,0.06,0.7821271044746763,237.30029029095905,1.3415643138719557
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.01,6.241263462500329,117.50603285059915,4.97916342271747
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.02,3.2420284958692607,117.50603285059915,3.163897110203386
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.03,1.7583504716110108,117.50603285059915,2.0652112744322526
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.035,1.3146183364593498,117.50603285059915,1.6847361194650181
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.04,0.9919582653102335,117.50603285059915,1.3828612793854032
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.05,0.5787438671140105,117.50603285059915,0.9482224585908857
"Replacing aging, 2x organs",40,10,20,0.22,0.0,0.0,14.495408307952191,50.34861174851816,0.592185133935804,0.592221100785078,49.515117478644655,-247.1502228716272,0.06,0.34664327664945815,117.50603285059915,0.664530961473647
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.01,4.30804712626789,45.3381777713699,1.8491562274264022
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.02,2.4159562831091046,45.3381777713699,1.2354569063305725
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.03,1.4511986398424288,45.3381777713699,0.8523179536720674
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.035,1.1530391304939758,45.3381777713699,0.7159427731719882
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.04,0.9305297113712198,45.3381777713699,0.6056363347029141
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.05,0.6324710806173687,45.3381777713699,0.4419770401415467
1st Gen,65,5,10,0.09,0.08,0.0,5.656161717026897,17.893901230778564,0.2752084421926352,0.2752084421926352,40.44270448642742,-19.85212211397898,0.06,0.45157240878821286,45.3381777713699,0.33025648925657874
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.01,7.3491391442285945,75.8348878412673,3.092648769094984
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.02,4.160237301998669,75.8348878412673,2.066076717139157
